"Data","Valor"
13/06/2021,1868.00
06/06/2021,1879.60
30/05/2021,1892.00
23/05/2021,1905.30
16/05/2021,1878.90
09/05/2021,1840.00
02/05/2021,1833.50
25/04/2021,1769.80
18/04/2021,1779.90
11/04/2021,1782.20
04/04/2021,1746.80
28/03/2021,1730.30
21/03/2021,1736.50
14/03/2021,1745.80
07/03/2021,1724.30
28/02/2021,1703.80
21/02/2021,1734.00
14/02/2021,1782.20
07/02/2021,1828.10
31/01/2021,1817.80
24/01/2021,1854.70
17/01/2021,1864.80
10/01/2021,1839.00
03/01/2021,1845.40
27/12/2020,1905.80
20/12/2020,1893.10
13/12/2020,1898.20
06/12/2020,1853.10
29/11/2020,1849.00
22/11/2020,1797.50
15/11/2020,1888.20
08/11/2020,1906.30
01/11/2020,1973.00
25/10/2020,1899.90
18/10/2020,1926.40
11/10/2020,1928.30
04/10/2020,1947.80
27/09/2020,1926.60
20/09/2020,1884.80
13/09/2020,1981.90
06/09/2020,1967.40
30/08/2020,1952.80
23/08/2020,1993.20
16/08/2020,1969.60
09/08/2020,1976.80
02/08/2020,2061.40
26/07/2020,2017.10
19/07/2020,1957.50
12/07/2020,1854.30
05/07/2020,1852.00
28/06/2020,1825.00
21/06/2020,1810.80
14/06/2020,1782.10
07/06/2020,1768.10
31/05/2020,1716.00
24/05/2020,1773.80
17/05/2020,1770.80
10/05/2020,1786.20
03/05/2020,1748.30
26/04/2020,1717.80
19/04/2020,1745.60
12/04/2020,1705.60
05/04/2020,1755.40
29/03/2020,1650.10
22/03/2020,1661.00
15/03/2020,1501.40
08/03/2020,1532.20
01/03/2020,1691.60
23/02/2020,1596.60
16/02/2020,1686.30
09/02/2020,1624.10
02/02/2020,1612.80
26/01/2020,1626.10
19/01/2020,1615.40
12/01/2020,1603.40
05/01/2020,1603.30
29/12/2019,1596.40
22/12/2019,1561.20
15/12/2019,1523.10
08/12/2019,1523.00
01/12/2019,1504.20
24/11/2019,1510.70
17/11/2019,1508.00
10/11/2019,1513.60
03/11/2019,1510.40
27/10/2019,1554.40
20/10/2019,1547.70
13/10/2019,1535.00
06/10/2019,1529.80
29/09/2019,1551.90
22/09/2019,1548.30
15/09/2019,1545.30
08/09/2019,1530.70
01/09/2019,1543.30
25/08/2019,1557.20
18/08/2019,1563.50
11/08/2019,1549.20
04/08/2019,1534.50
28/07/2019,1485.30
21/07/2019,1460.40
14/07/2019,1465.50
07/07/2019,1450.90
30/06/2019,1436.60
23/06/2019,1446.80
16/06/2019,1432.70
09/06/2019,1381.50
02/06/2019,1381.90
26/05/2019,1349.60
19/05/2019,1330.10
12/05/2019,1322.50
05/05/2019,1337.20
28/04/2019,1331.70
21/04/2019,1339.20
14/04/2019,1326.90
